단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,표현
유래의,,,,NNP,*,F,유래의,*,*,*,*
앞굽음,,,,NNP,*,T,앞굽음,*,*,*,*
관절신연,,,,NNP,*,T,관절신연,*,*,*,*
향사평위산,,,,NNP,*,T,향사평위산,*,*,*,*
치주염,,,,NNP,*,T,치주염,*,*,*,*
글리코사미토글리칸,,,,NNP,*,T,글리코사미토글리칸,*,*,*,*
노강음,,,,NNP,*,T,노강음,*,*,*,*
대퇴부,,,,NNP,*,F,대퇴부,*,*,*,*
전씨이공산,,,,NNP,*,T,전씨이공산,*,*,*,*
되는,,,,NNP,*,T,되는,*,*,*,*
후,,,,NNP,*,F,후,*,*,*,*
손상,,,,NNP,*,T,손상,*,*,*,*
몰약,,,,NNP,*,T,몰약,*,*,*,*
비염증성,,,,NNP,*,T,비염증성,*,*,*,*
지보단,,,,NNP,*,T,지보단,*,*,*,*
편축,,,,NNP,*,T,편축,*,*,*,*
외측상과염,,,,NNP,*,T,외측상과염,*,*,*,*
자쪽치우침,,,,NNP,*,T,자쪽치우침,*,*,*,*
견갑하근,,,,NNP,*,T,견갑하근,*,*,*,*
인삼부자관계탕,,,,NNP,*,T,인삼부자관계탕,*,*,*,*
이질균,,,,NNP,*,T,이질균,*,*,*,*
종골과거골,,,,NNP,*,T,종골과거골,*,*,*,*
재봉사,,,,NNP,*,F,재봉사,*,*,*,*
대변빈번,,,,NNP,*,T,대변빈번,*,*,*,*
귀출파장탕,,,,NNP,*,T,귀출파장탕,*,*,*,*
홍반루푸스,,,,NNP,*,F,홍반루푸스,*,*,*,*
비허연관처방,,,,NNP,*,T,비허연관처방,*,*,*,*
장누수,,,,NNP,*,F,장누수,*,*,*,*
현훈,,,,NNP,*,T,현훈,*,*,*,*
백두옹,,,,NNP,*,T,백두옹,*,*,*,*
발기부전,,,,NNP,*,T,발기부전,*,*,*,*
생화탕,,,,NNP,*,T,생화탕,*,*,*,*
월폐,,,,NNP,*,F,월폐,*,*,*,*
적석지,,,,NNP,*,F,적석지,*,*,*,*
종아리세갈래근,,,,NNP,*,T,종아리세갈래근,*,*,*,*
시호제의,,,,NNP,*,F,시호제의,*,*,*,*
골절,,,,NNP,*,T,골절,*,*,*,*
좌골신경,,,,NNP,*,T,좌골신경,*,*,*,*
포부자,,,,NNP,*,F,포부자,*,*,*,*
공진단가미,,,,NNP,*,F,공진단가미,*,*,*,*
보통,,,,NNP,*,T,보통,*,*,*,*
귤피죽여탕,,,,NNP,*,T,귤피죽여탕,*,*,*,*
증한장열,,,,NNP,*,T,증한장열,*,*,*,*
자궁하수,,,,NNP,*,F,자궁하수,*,*,*,*
숙지황고삼탕,,,,NNP,*,T,숙지황고삼탕,*,*,*,*
긴머리파열,,,,NNP,*,T,긴머리파열,*,*,*,*
면부종,,,,NNP,*,T,면부종,*,*,*,*
등황,,,,NNP,*,T,등황,*,*,*,*
유즙분비,,,,NNP,*,F,유즙분비,*,*,*,*
상태의학,,,,NNP,*,T,상태의학,*,*,*,*
거담청심탕,,,,NNP,*,T,거담청심탕,*,*,*,*
기전,,,,NNP,*,T,기전,*,*,*,*
보익탕가미,,,,NNP,*,F,보익탕가미,*,*,*,*
녹두의,,,,NNP,*,F,녹두의,*,*,*,*
척골신경,,,,NNP,*,T,척골신경,*,*,*,*
사변적,,,,NNP,*,T,사변적,*,*,*,*
관절선압통,,,,NNP,*,T,관절선압통,*,*,*,*
골반,,,,NNP,*,T,골반,*,*,*,*
불임증의,,,,NNP,*,F,불임증의,*,*,*,*
경련,,,,NNP,*,T,경련,*,*,*,*
월경통,,,,NNP,*,T,월경통,*,*,*,*
태음인,,,,NNP,*,T,태음인,*,*,*,*
견비통,,,,NNP,*,T,견비통,*,*,*,*
택사,,,,NNP,*,F,택사,*,*,*,*
굽힘운동,,,,NNP,*,T,굽힘운동,*,*,*,*
두현,,,,NNP,*,T,두현,*,*,*,*
임신통치,,,,NNP,*,F,임신통치,*,*,*,*
박리뼈연골염,,,,NNP,*,T,박리뼈연골염,*,*,*,*
대청엽,,,,NNP,*,T,대청엽,*,*,*,*
조위승청탕,,,,NNP,*,T,조위승청탕,*,*,*,*
황한,,,,NNP,*,T,황한,*,*,*,*
대퇴경부,,,,NNP,*,F,대퇴경부,*,*,*,*
구순염,,,,NNP,*,T,구순염,*,*,*,*
허임,,,,NNP,*,T,허임,*,*,*,*
신기작통,,,,NNP,*,T,신기작통,*,*,*,*
오미자,,,,NNP,*,F,오미자,*,*,*,*
붕루,,,,NNP,*,F,붕루,*,*,*,*
쇄양,,,,NNP,*,T,쇄양,*,*,*,*
검인,,,,NNP,*,T,검인,*,*,*,*
여로복,,,,NNP,*,T,여로복,*,*,*,*
식체빈발,,,,NNP,*,T,식체빈발,*,*,*,*
딸꾹질,,,,NNP,*,T,딸꾹질,*,*,*,*
통증양상,,,,NNP,*,T,통증양상,*,*,*,*
포궁내,,,,NNP,*,F,포궁내,*,*,*,*
자궁탈출,,,,NNP,*,T,자궁탈출,*,*,*,*
흑함,,,,NNP,*,T,흑함,*,*,*,*
파두단,,,,NNP,*,T,파두단,*,*,*,*
주요(key)통증,,,,NNP,*,T,주요(key)통증,*,*,*,*
모음근,,,,NNP,*,T,모음근,*,*,*,*
파상풍,,,,NNP,*,T,파상풍,*,*,*,*
비자,,,,NNP,*,F,비자,*,*,*,*
구건,,,,NNP,*,T,구건,*,*,*,*
형방사백산,,,,NNP,*,T,형방사백산,*,*,*,*
동규자,,,,NNP,*,F,동규자,*,*,*,*
간화범폐증아,,,,NNP,*,F,간화범폐증아,*,*,*,*
배한,,,,NNP,*,T,배한,*,*,*,*
경련성,,,,NNP,*,T,경련성,*,*,*,*
종양면역억제,,,,NNP,*,F,종양면역억제,*,*,*,*
후관절증후군,,,,NNP,*,T,후관절증후군,*,*,*,*
천궁다조산이,,,,NNP,*,F,천궁다조산이,*,*,*,*
다결절성,,,,NNP,*,T,다결절성,*,*,*,*
족부백선,,,,NNP,*,T,족부백선,*,*,*,*
뇌놀중,,,,NNP,*,T,뇌놀중,*,*,*,*
장에,,,,NNP,*,F,장에,*,*,*,*
획득면역,,,,NNP,*,T,획득면역,*,*,*,*
광선피부염,,,,NNP,*,T,광선피부염,*,*,*,*
슬와낭종,,,,NNP,*,T,슬와낭종,*,*,*,*
운기,,,,NNP,*,F,운기,*,*,*,*
중,,,,NNP,*,T,중,*,*,*,*
임패금,,,,NNP,*,T,임패금,*,*,*,*
관계부자이중탕(사상방),,,,NNP,*,T,관계부자이중탕(사상방),*,*,*,*
여정실,,,,NNP,*,T,여정실,*,*,*,*
도포,,,,NNP,*,F,도포,*,*,*,*
대두황권,,,,NNP,*,T,대두황권,*,*,*,*
노손목,,,,NNP,*,T,노손목,*,*,*,*
위통,,,,NNP,*,T,위통,*,*,*,*
안통,,,,NNP,*,T,안통,*,*,*,*
통규탕,,,,NNP,*,T,통규탕,*,*,*,*
대화중음과,,,,NNP,*,F,대화중음과,*,*,*,*
황률소백피탕,,,,NNP,*,T,황률소백피탕,*,*,*,*
허약의,,,,NNP,*,F,허약의,*,*,*,*
수장건조,,,,NNP,*,F,수장건조,*,*,*,*
엉덩정강,,,,NNP,*,T,엉덩정강,*,*,*,*
기회감염,,,,NNP,*,T,기회감염,*,*,*,*
울혈,,,,NNP,*,T,울혈,*,*,*,*
금은화,,,,NNP,*,F,금은화,*,*,*,*
마황연교적소두탕,,,,NNP,*,T,마황연교적소두탕,*,*,*,*
사과락,,,,NNP,*,T,사과락,*,*,*,*
정천탕,,,,NNP,*,T,정천탕,*,*,*,*
대산탕,,,,NNP,*,T,대산탕,*,*,*,*
홍반,,,,NNP,*,T,홍반,*,*,*,*
목가쪽,,,,NNP,*,T,목가쪽,*,*,*,*
리부위,,,,NNP,*,F,리부위,*,*,*,*
청소년,,,,NNP,*,T,청소년,*,*,*,*
대장진휴증,,,,NNP,*,T,대장진휴증,*,*,*,*
젖힘검사,,,,NNP,*,F,젖힘검사,*,*,*,*
자궁출혈과,,,,NNP,*,F,자궁출혈과,*,*,*,*
적취,,,,NNP,*,F,적취,*,*,*,*
복희씨,,,,NNP,*,F,복희씨,*,*,*,*
산사,,,,NNP,*,F,산사,*,*,*,*
스팀슨테크닉,,,,NNP,*,T,스팀슨테크닉,*,*,*,*
궤양입안염,,,,NNP,*,T,궤양입안염,*,*,*,*
급성구획,,,,NNP,*,T,급성구획,*,*,*,*
인동등지골피탕,,,,NNP,*,T,인동등지골피탕,*,*,*,*
가래,,,,NNP,*,F,가래,*,*,*,*
결명자,,,,NNP,*,F,결명자,*,*,*,*
긴갈래힘줄,,,,NNP,*,T,긴갈래힘줄,*,*,*,*
부상의,,,,NNP,*,F,부상의,*,*,*,*
월경부조,,,,NNP,*,F,월경부조,*,*,*,*
요부염좌,,,,NNP,*,F,요부염좌,*,*,*,*
정강넙다리관절,,,,NNP,*,T,정강넙다리관절,*,*,*,*
산욕기,,,,NNP,*,F,산욕기,*,*,*,*
그레이브스,,,,NNP,*,F,그레이브스,*,*,*,*
태루,,,,NNP,*,F,태루,*,*,*,*
여름감기,,,,NNP,*,F,여름감기,*,*,*,*
생맥산뱝,,,,NNP,*,T,생맥산뱝,*,*,*,*
명문화쇠,,,,NNP,*,F,명문화쇠,*,*,*,*
감수산,,,,NNP,*,T,감수산,*,*,*,*
영실,,,,NNP,*,T,영실,*,*,*,*
강활승습탕,,,,NNP,*,T,강활승습탕,*,*,*,*
엉덩관절염,,,,NNP,*,T,엉덩관절염,*,*,*,*
허손,,,,NNP,*,T,허손,*,*,*,*
하지부종,,,,NNP,*,T,하지부종,*,*,*,*
류마티스,,,,NNP,*,F,류마티스,*,*,*,*
사슬증,,,,NNP,*,T,사슬증,*,*,*,*
만성,,,,NNP,*,T,만성,*,*,*,*
까짐성,,,,NNP,*,T,까짐성,*,*,*,*
올빼미윙크,,,,NNP,*,F,올빼미윙크,*,*,*,*
수결흉,,,,NNP,*,T,수결흉,*,*,*,*
무릎앞,,,,NNP,*,T,무릎앞,*,*,*,*
피부질환들,,,,NNP,*,T,피부질환들,*,*,*,*
지실,,,,NNP,*,T,지실,*,*,*,*
기혈양허증,,,,NNP,*,T,기혈양허증,*,*,*,*
진인양장탕황토탕,,,,NNP,*,T,진인양장탕황토탕,*,*,*,*
체질별,,,,NNP,*,T,체질별,*,*,*,*
경부,,,,NNP,*,F,경부,*,*,*,*
아킬레스건,,,,NNP,*,T,아킬레스건,*,*,*,*
한속단,,,,NNP,*,T,한속단,*,*,*,*
일반적,,,,NNP,*,T,일반적,*,*,*,*
급성설사,,,,NNP,*,F,급성설사,*,*,*,*
식체,,,,NNP,*,F,식체,*,*,*,*
현모,,,,NNP,*,F,현모,*,*,*,*
십조탕,,,,NNP,*,T,십조탕,*,*,*,*
마찰검사,,,,NNP,*,F,마찰검사,*,*,*,*
임신병,,,,NNP,*,T,임신병,*,*,*,*
기면증,,,,NNP,*,T,기면증,*,*,*,*
염증치료,,,,NNP,*,F,염증치료,*,*,*,*
중국규격,,,,NNP,*,T,중국규격,*,*,*,*
엎드려서,,,,NNP,*,F,엎드려서,*,*,*,*
수핵,,,,NNP,*,T,수핵,*,*,*,*
왕청임,,,,NNP,*,T,왕청임,*,*,*,*
축천환,,,,NNP,*,T,축천환,*,*,*,*
예측인자,,,,NNP,*,F,예측인자,*,*,*,*
아교,,,,NNP,*,F,아교,*,*,*,*
길경생맥산,,,,NNP,*,T,길경생맥산,*,*,*,*
당약,,,,NNP,*,T,당약,*,*,*,*
옹황,,,,NNP,*,T,옹황,*,*,*,*
육미탕,,,,NNP,*,T,육미탕,*,*,*,*
자소자,,,,NNP,*,F,자소자,*,*,*,*
기미,,,,NNP,*,F,기미,*,*,*,*
이수삼습약,,,,NNP,*,T,이수삼습약,*,*,*,*
규약,,,,NNP,*,T,규약,*,*,*,*
기관지확장증,,,,NNP,*,T,기관지확장증,*,*,*,*
말총증후군,,,,NNP,*,T,말총증후군,*,*,*,*
황련,,,,NNP,*,T,황련,*,*,*,*
계혈등좇,,,,NNP,*,T,계혈등좇,*,*,*,*
편두통성,,,,NNP,*,T,편두통성,*,*,*,*
칸디다,,,,NNP,*,F,칸디다,*,*,*,*
3的,,,,NNP,*,T,3的,*,*,*,*
궁귀총소이중탕,,,,NNP,*,T,궁귀총소이중탕,*,*,*,*
손,,,,NNP,*,T,손,*,*,*,*
박사,,,,NNP,*,F,박사,*,*,*,*
당귀육황탕,,,,NNP,*,T,당귀육황탕,*,*,*,*
밖굽이,,,,NNP,*,F,밖굽이,*,*,*,*
백혈구응집성,,,,NNP,*,T,백혈구응집성,*,*,*,*
위축성,,,,NNP,*,T,위축성,*,*,*,*
자연동,,,,NNP,*,T,자연동,*,*,*,*
황기계지오물탕,,,,NNP,*,T,황기계지오물탕,*,*,*,*
권백,,,,NNP,*,T,권백,*,*,*,*
팔꿈치,,,,NNP,*,F,팔꿈치,*,*,*,*
형개,,,,NNP,*,F,형개,*,*,*,*
잠은,,,,NNP,*,T,잠은,*,*,*,*
능동신장,,,,NNP,*,T,능동신장,*,*,*,*
수정한사이드브릿지,,,,NNP,*,F,수정한사이드브릿지,*,*,*,*
간대성경련,,,,NNP,*,T,간대성경련,*,*,*,*
담부자,,,,NNP,*,F,담부자,*,*,*,*
활락탕,,,,NNP,*,T,활락탕,*,*,*,*
연관성,,,,NNP,*,T,연관성,*,*,*,*
변폐,,,,NNP,*,F,변폐,*,*,*,*
엉덩이,,,,NNP,*,F,엉덩이,*,*,*,*
판누스,,,,NNP,*,F,판누스,*,*,*,*
활백인,,,,NNP,*,T,활백인,*,*,*,*
파라티푸스,,,,NNP,*,F,파라티푸스,*,*,*,*
장담보심탕,,,,NNP,*,T,장담보심탕,*,*,*,*
퇴각무력,,,,NNP,*,T,퇴각무력,*,*,*,*
식후즉변,,,,NNP,*,T,식후즉변,*,*,*,*
자단향,,,,NNP,*,T,자단향,*,*,*,*
화병,,,,NNP,*,T,화병,*,*,*,*
간열온병,,,,NNP,*,T,간열온병,*,*,*,*
전립선동통,,,,NNP,*,T,전립선동통,*,*,*,*
맥립종,,,,NNP,*,T,맥립종,*,*,*,*
단추구멍기형,,,,NNP,*,T,단추구멍기형,*,*,*,*
보생향소산,,,,NNP,*,T,보생향소산,*,*,*,*
산두근,,,,NNP,*,T,산두근,*,*,*,*
이비인후,,,,NNP,*,F,이비인후,*,*,*,*
거습제,,,,NNP,*,F,거습제,*,*,*,*
갑상선기능저하증,,,,NNP,*,T,갑상선기능저하증,*,*,*,*
갈근,,,,NNP,*,T,갈근,*,*,*,*
이질,,,,NNP,*,T,이질,*,*,*,*
목뼈,,,,NNP,*,F,목뼈,*,*,*,*
조합,,,,NNP,*,T,조합,*,*,*,*
묵직하거나,,,,NNP,*,F,묵직하거나,*,*,*,*
대금음자와,,,,NNP,*,F,대금음자와,*,*,*,*
파킨슨병,,,,NNP,*,T,파킨슨병,*,*,*,*
진음휴손,,,,NNP,*,T,진음휴손,*,*,*,*
반사성억제기전,,,,NNP,*,T,반사성억제기전,*,*,*,*
일본,,,,NNP,*,T,일본,*,*,*,*
해분,,,,NNP,*,T,해분,*,*,*,*
한냉성피부염,,,,NNP,*,T,한냉성피부염,*,*,*,*
옆으로,,,,NNP,*,F,옆으로,*,*,*,*
계지복령환,,,,NNP,*,T,계지복령환,*,*,*,*
퇴행성관절염,,,,NNP,*,T,퇴행성관절염,*,*,*,*
상심자,,,,NNP,*,F,상심자,*,*,*,*
경지,,,,NNP,*,F,경지,*,*,*,*
부인기통,,,,NNP,*,T,부인기통,*,*,*,*
열성,,,,NNP,*,T,열성,*,*,*,*
계강양위탕,,,,NNP,*,T,계강양위탕,*,*,*,*
족장건조,,,,NNP,*,F,족장건조,*,*,*,*
환시의,,,,NNP,*,F,환시의,*,*,*,*
합병증,,,,NNP,*,T,합병증,*,*,*,*
요골경상건초염,,,,NNP,*,T,요골경상건초염,*,*,*,*
비건강상태,,,,NNP,*,F,비건강상태,*,*,*,*
갑상선종,,,,NNP,*,T,갑상선종,*,*,*,*
크로스오버스탠드,,,,NNP,*,F,크로스오버스탠드,*,*,*,*
지주막하,,,,NNP,*,F,지주막하,*,*,*,*
양격산,,,,NNP,*,T,양격산,*,*,*,*
장애,,,,NNP,*,F,장애,*,*,*,*
일본방제,,,,NNP,*,F,일본방제,*,*,*,*
중둔근,,,,NNP,*,T,중둔근,*,*,*,*
재발아프타구내염,,,,NNP,*,T,재발아프타구내염,*,*,*,*
해면화,,,,NNP,*,F,해면화,*,*,*,*
생약,,,,NNP,*,T,생약,*,*,*,*
갈용부평탕,,,,NNP,*,T,갈용부평탕,*,*,*,*
주행,,,,NNP,*,T,주행,*,*,*,*
3점척추,,,,NNP,*,F,3점척추,*,*,*,*
거습활혈지통탕,,,,NNP,*,T,거습활혈지통탕,*,*,*,*
곽향,,,,NNP,*,T,곽향,*,*,*,*
평진탕가미방,,,,NNP,*,T,평진탕가미방,*,*,*,*
귤령보생탕,,,,NNP,*,T,귤령보생탕,*,*,*,*
유뇨,,,,NNP,*,F,유뇨,*,*,*,*
다리신장,,,,NNP,*,T,다리신장,*,*,*,*
피부질환과,,,,NNP,*,F,피부질환과,*,*,*,*
파행증,,,,NNP,*,T,파행증,*,*,*,*
보골지,,,,NNP,*,F,보골지,*,*,*,*
만성피로증후군,,,,NNP,*,T,만성피로증후군,*,*,*,*
적작약,,,,NNP,*,T,적작약,*,*,*,*
작열통,,,,NNP,*,T,작열통,*,*,*,*
넙다리뼈,,,,NNP,*,F,넙다리뼈,*,*,*,*
조사벙폐증,,,,NNP,*,T,조사벙폐증,*,*,*,*
종류와,,,,NNP,*,F,종류와,*,*,*,*
진창,,,,NNP,*,T,진창,*,*,*,*
의존성행동,,,,NNP,*,T,의존성행동,*,*,*,*
무월경,,,,NNP,*,T,무월경,*,*,*,*
현호색,,,,NNP,*,T,현호색,*,*,*,*
구진성,,,,NNP,*,T,구진성,*,*,*,*
마비,,,,NNP,*,F,마비,*,*,*,*
저담,,,,NNP,*,T,저담,*,*,*,*
병치의학,,,,NNP,*,T,병치의학,*,*,*,*
손가락사이관절,,,,NNP,*,T,손가락사이관절,*,*,*,*
오가피장척탕,,,,NNP,*,T,오가피장척탕,*,*,*,*
촉규화,,,,NNP,*,F,촉규화,*,*,*,*
족지간,,,,NNP,*,T,족지간,*,*,*,*
인숙보심탕,,,,NNP,*,T,인숙보심탕,*,*,*,*
깁영석,,,,NNP,*,T,깁영석,*,*,*,*
요천추코르셋,,,,NNP,*,T,요천추코르셋,*,*,*,*
이면수,,,,NNP,*,F,이면수,*,*,*,*
두개강내,,,,NNP,*,F,두개강내,*,*,*,*
오조,,,,NNP,*,F,오조,*,*,*,*
아프타궤양,,,,NNP,*,T,아프타궤양,*,*,*,*
진후,,,,NNP,*,F,진후,*,*,*,*
싱화항성증,,,,NNP,*,T,싱화항성증,*,*,*,*
다빈도,,,,NNP,*,F,다빈도,*,*,*,*
경행변혈,,,,NNP,*,T,경행변혈,*,*,*,*
행소청기탕,,,,NNP,*,T,행소청기탕,*,*,*,*
알레르기성,,,,NNP,*,T,알레르기성,*,*,*,*
익기보혈탕,,,,NNP,*,T,익기보혈탕,*,*,*,*
시호소간산,,,,NNP,*,T,시호소간산,*,*,*,*
결유,,,,NNP,*,F,결유,*,*,*,*
뒤굽음기형,,,,NNP,*,T,뒤굽음기형,*,*,*,*
수역,,,,NNP,*,T,수역,*,*,*,*
연골파열,,,,NNP,*,T,연골파열,*,*,*,*
괴사,,,,NNP,*,F,괴사,*,*,*,*
풍한속폐증,,,,NNP,*,T,풍한속폐증,*,*,*,*
속수자,,,,NNP,*,F,속수자,*,*,*,*
야뇨,,,,NNP,*,F,야뇨,*,*,*,*
포황,,,,NNP,*,T,포황,*,*,*,*
촉진,,,,NNP,*,T,촉진,*,*,*,*
그람음성균혈,,,,NNP,*,T,그람음성균혈,*,*,*,*
신근초,,,,NNP,*,F,신근초,*,*,*,*
건율,,,,NNP,*,T,건율,*,*,*,*
반복(습관성),,,,NNP,*,T,반복(습관성),*,*,*,*
지실치자시탕,,,,NNP,*,T,지실치자시탕,*,*,*,*
황기계지부자탕,,,,NNP,*,T,황기계지부자탕,*,*,*,*
보신건양탕,,,,NNP,*,T,보신건양탕,*,*,*,*
약물발진,,,,NNP,*,T,약물발진,*,*,*,*
적용,,,,NNP,*,T,적용,*,*,*,*
갈근승기탕,,,,NNP,*,T,갈근승기탕,*,*,*,*
월비가출탕,,,,NNP,*,T,월비가출탕,*,*,*,*
계지반하생강탕,,,,NNP,*,T,계지반하생강탕,*,*,*,*
경화증,,,,NNP,*,T,경화증,*,*,*,*
비소세포,,,,NNP,*,F,비소세포,*,*,*,*
경기,,,,NNP,*,F,경기,*,*,*,*
타박상,,,,NNP,*,T,타박상,*,*,*,*
잠수병의,,,,NNP,*,F,잠수병의,*,*,*,*
간신허약근련,,,,NNP,*,T,간신허약근련,*,*,*,*
장지총,,,,NNP,*,T,장지총,*,*,*,*
비부비동,,,,NNP,*,T,비부비동,*,*,*,*
피로의,,,,NNP,*,F,피로의,*,*,*,*
폐경기,,,,NNP,*,F,폐경기,*,*,*,*
정수리,,,,NNP,*,F,정수리,*,*,*,*
인후불리,,,,NNP,*,F,인후불리,*,*,*,*
아탈구,,,,NNP,*,F,아탈구,*,*,*,*
재채기,,,,NNP,*,F,재채기,*,*,*,*
뼈엉성증,,,,NNP,*,T,뼈엉성증,*,*,*,*
획득,,,,NNP,*,T,획득,*,*,*,*
심허열,,,,NNP,*,T,심허열,*,*,*,*
인후종통,,,,NNP,*,T,인후종통,*,*,*,*
반대해,,,,NNP,*,F,반대해,*,*,*,*
추체골절,,,,NNP,*,T,추체골절,*,*,*,*
육일순기탕,,,,NNP,*,T,육일순기탕,*,*,*,*
옥사피,,,,NNP,*,F,옥사피,*,*,*,*
해천,,,,NNP,*,T,해천,*,*,*,*
창출,,,,NNP,*,T,창출,*,*,*,*
천왕보심단,,,,NNP,*,T,천왕보심단,*,*,*,*
사시상한,,,,NNP,*,T,사시상한,*,*,*,*
낭독,,,,NNP,*,T,낭독,*,*,*,*
태열,,,,NNP,*,T,태열,*,*,*,*
하복포만,,,,NNP,*,T,하복포만,*,*,*,*
어둔함,,,,NNP,*,T,어둔함,*,*,*,*
요추,,,,NNP,*,F,요추,*,*,*,*
투농산,,,,NNP,*,T,투농산,*,*,*,*
풍담증,,,,NNP,*,T,풍담증,*,*,*,*
산후복통,,,,NNP,*,T,산후복통,*,*,*,*
칠정노상,,,,NNP,*,T,칠정노상,*,*,*,*
만주감초,,,,NNP,*,F,만주감초,*,*,*,*
화타,,,,NNP,*,F,화타,*,*,*,*
무기력,,,,NNP,*,T,무기력,*,*,*,*
종통,,,,NNP,*,T,종통,*,*,*,*
백합고금탕,,,,NNP,*,T,백합고금탕,*,*,*,*
방약합편,,,,NNP,*,T,방약합편,*,*,*,*
이기제육미지황환,,,,NNP,*,T,이기제육미지황환,*,*,*,*
증식대,,,,NNP,*,F,증식대,*,*,*,*
반하,,,,NNP,*,F,반하,*,*,*,*
경화,,,,NNP,*,F,경화,*,*,*,*
발달장애,,,,NNP,*,F,발달장애,*,*,*,*
청아환,,,,NNP,*,T,청아환,*,*,*,*
신정부족증빱,,,,NNP,*,T,신정부족증빱,*,*,*,*
엔테로박터,,,,NNP,*,F,엔테로박터,*,*,*,*
장궐,,,,NNP,*,T,장궐,*,*,*,*
슬랩병변,,,,NNP,*,T,슬랩병변,*,*,*,*
대변실금,,,,NNP,*,T,대변실금,*,*,*,*
간기울결,,,,NNP,*,T,간기울결,*,*,*,*
배농부,,,,NNP,*,F,배농부,*,*,*,*
노인성,,,,NNP,*,T,노인성,*,*,*,*
대강활탕가미,,,,NNP,*,F,대강활탕가미,*,*,*,*
작은원근,,,,NNP,*,T,작은원근,*,*,*,*
구강암,,,,NNP,*,T,구강암,*,*,*,*
노감석,,,,NNP,*,T,노감석,*,*,*,*
저나트름혈증,,,,NNP,*,T,저나트름혈증,*,*,*,*
접종,,,,NNP,*,T,접종,*,*,*,*
뇌경색,,,,NNP,*,T,뇌경색,*,*,*,*
압통성,,,,NNP,*,T,압통성,*,*,*,*
고방,,,,NNP,*,T,고방,*,*,*,*
쥐어짜기,,,,NNP,*,F,쥐어짜기,*,*,*,*
위경탕쇼,,,,NNP,*,F,위경탕쇼,*,*,*,*
대정풍주,,,,NNP,*,F,대정풍주,*,*,*,*
자지,,,,NNP,*,F,자지,*,*,*,*
백미,,,,NNP,*,F,백미,*,*,*,*
익모환,,,,NNP,*,T,익모환,*,*,*,*
목별자,,,,NNP,*,F,목별자,*,*,*,*
월경어폐,,,,NNP,*,F,월경어폐,*,*,*,*
후비공,,,,NNP,*,T,후비공,*,*,*,*
창이자,,,,NNP,*,F,창이자,*,*,*,*
향유,,,,NNP,*,F,향유,*,*,*,*
복부허냉,,,,NNP,*,T,복부허냉,*,*,*,*
형소화중탕,,,,NNP,*,T,형소화중탕,*,*,*,*
윌비가출탕가미방,,,,NNP,*,T,윌비가출탕가미방,*,*,*,*
정신사간탕,,,,NNP,*,T,정신사간탕,*,*,*,*
속단,,,,NNP,*,T,속단,*,*,*,*
본태성,,,,NNP,*,T,본태성,*,*,*,*
혈허생풍증,,,,NNP,*,T,혈허생풍증,*,*,*,*
감각운동훈련,,,,NNP,*,T,감각운동훈련,*,*,*,*
요방형근,,,,NNP,*,T,요방형근,*,*,*,*
쥐남,,,,NNP,*,T,쥐남,*,*,*,*
한습증,,,,NNP,*,T,한습증,*,*,*,*
자가혈청검사,,,,NNP,*,F,자가혈청검사,*,*,*,*
빈혈,,,,NNP,*,T,빈혈,*,*,*,*
회춘양격산,,,,NNP,*,T,회춘양격산,*,*,*,*
발바닥굽힘근,,,,NNP,*,T,발바닥굽힘근,*,*,*,*
신경근병증,,,,NNP,*,T,신경근병증,*,*,*,*
승금조위탕,,,,NNP,*,T,승금조위탕,*,*,*,*
입덧,,,,NNP,*,T,입덧,*,*,*,*
평진건비탕,,,,NNP,*,T,평진건비탕,*,*,*,*
덩이병터,,,,NNP,*,F,덩이병터,*,*,*,*
석회화성건,,,,NNP,*,T,석회화성건,*,*,*,*
반변련,,,,NNP,*,T,반변련,*,*,*,*
족근관,,,,NNP,*,T,족근관,*,*,*,*
손바닥,,,,NNP,*,T,손바닥,*,*,*,*
건초염,,,,NNP,*,T,건초염,*,*,*,*
팔미지황원,,,,NNP,*,T,팔미지황원,*,*,*,*
향부자팔물탕,,,,NNP,*,T,향부자팔물탕,*,*,*,*
담천,,,,NNP,*,T,담천,*,*,*,*
서각지황탕,,,,NNP,*,T,서각지황탕,*,*,*,*
손사막,,,,NNP,*,T,손사막,*,*,*,*
처방,,,,NNP,*,T,처방,*,*,*,*
소풍순기원,,,,NNP,*,T,소풍순기원,*,*,*,*
또는,,,,NNP,*,T,또는,*,*,*,*
호흡기질환,,,,NNP,*,T,호흡기질환,*,*,*,*
만성복통의,,,,NNP,*,F,만성복통의,*,*,*,*
안심온담탕,,,,NNP,*,T,안심온담탕,*,*,*,*
갈근부평탕,,,,NNP,*,T,갈근부평탕,*,*,*,*
이주의학,,,,NNP,*,T,이주의학,*,*,*,*
조정,,,,NNP,*,T,조정,*,*,*,*
우방자,,,,NNP,*,F,우방자,*,*,*,*
전십자,,,,NNP,*,F,전십자,*,*,*,*
목향,,,,NNP,*,T,목향,*,*,*,*
호도,,,,NNP,*,F,호도,*,*,*,*
뇌졸중,,,,NNP,*,T,뇌졸중,*,*,*,*
평위산,,,,NNP,*,T,평위산,*,*,*,*
이음부,,,,NNP,*,F,이음부,*,*,*,*
건의,,,,NNP,*,F,건의,*,*,*,*
